anime_id,title,score,rank,popularity,members,genres,studios,sentiment_score,controversy_index,emotional_intensity,review_count_scraped,synopsis_length,positive_keywords_count,negative_keywords_count,hype_ratio
52991,,,,,,"Adventure, Drama, Fantasy, Shounen",Madhouse,0.107,2.494,0.489,3,1096,4,3,0
5114,,,,,,"Action, Adventure, Drama, Fantasy, Military, Shounen",Bones,0.141,2.867,0.527,3,1166,7,3,0
9253,,,,,,"Drama, Sci-Fi, Suspense, Psychological, Time Travel",White Fox,0.087,2.867,0.532,3,1141,5,4,0
38524,,,,,,"Action, Drama, Suspense, Gore, Military, Survival, Shounen",Wit Studio,0.157,2.867,0.541,3,859,5,3,0
39486,,,,,,"Action, Comedy, Drama, Sci-Fi, Gag Humor, Historical, Parody, Samurai, Shounen",Bandai Namco Pictures,0.185,3.682,0.558,3,880,0,2,0
28977,,,,,,"Action, Comedy, Sci-Fi, Gag Humor, Historical, Parody, Samurai, Shounen",Bandai Namco Pictures,0.14,3.266,0.487,3,1202,2,1,0
11061,,,,,,"Action, Adventure, Fantasy, Shounen",Madhouse,0.109,3.682,0.521,3,888,7,4,0
60022,,,,,,"Action, Adventure, Fantasy, Shounen",Toei Animation,0.174,2.449,0.523,3,905,2,0,0
820,,,,,,"Drama, Sci-Fi, Adult Cast, Military, Space","K-Factory, Kitty Film Mitaka Studio",0.077,3.3,0.5,3,968,4,3,0
9969,,,,,,"Action, Comedy, Sci-Fi, Gag Humor, Historical, Parody, Samurai, Shounen",Sunrise,0.07,2.828,0.565,3,1110,4,4,0
15417,,,,,,"Action, Comedy, Sci-Fi, Gag Humor, Historical, Parody, Samurai, Shounen",Sunrise,0.294,0.0,0.558,3,827,4,0,0
41467,,,,,,"Action, Adventure, Supernatural, Shounen",Studio Pierrot,0.116,1.633,0.522,3,1001,3,1,0
34096,,,,,,"Action, Comedy, Sci-Fi, Gag Humor, Historical, Parody, Samurai, Shounen",Bandai Namco Pictures,0.083,2.055,0.531,3,1033,2,3,0
43608,,,,,,"Comedy, Romance, School, Seinen",A-1 Pictures,0.192,2.055,0.56,3,948,7,1,0
42938,,,,,,"Drama, Romance, Supernatural, Shoujo",TMS Entertainment,0.107,3.3,0.531,3,1027,4,3,0
4181,,,,,,"Drama, Romance",Kyoto Animation,0.137,2.494,0.521,3,692,5,4,0
918,,,,,,"Action, Comedy, Sci-Fi, Gag Humor, Historical, Parody, Samurai, Shounen",Sunrise,0.093,2.055,0.523,3,1051,5,0,0
28851,,,,,,"Award Winning, Drama, Shounen",Kyoto Animation,0.075,2.055,0.548,3,955,4,3,0
58514,,,,,,"Drama, Mystery, Historical, Medical","OLM, TOHO animation STUDIO",0.124,0.471,0.541,3,926,0,2,0
2904,,,,,,"Action, Award Winning, Drama, Sci-Fi, Mecha, Military, Super Power",Sunrise,0.167,2.944,0.541,3,801,2,4,0
35180,,,,,,"Drama, Childcare, Strategy Game, Seinen",Shaft,0.121,2.494,0.48,3,986,3,3,0
15335,,,,,,"Action, Comedy, Sci-Fi, Gag Humor, Historical, Parody, Samurai, Time Travel, Shounen",Sunrise,0.15,1.886,0.524,3,1061,4,2,0
